"StudentNr","BrandNr","Week","LnSales","LnAdvertising","LnPrice","LnCompAdvertising","LnCompPrice","Qrtr1","Qrtr2","Qrtr3","Qrtr4"
5065623,"85",51,16.0722472954236,12.3935931642704,-4.91550694900468,10.462102840138,-6.00759392903787,0,0,0,1
5065623,"85",52,16.2605780634098,14.1415037954404,-4.88567805469187,0,-6.00030349577519,1,0,0,0
5065623,"85",53,16.1128682116741,14.0455749052264,-4.85363154528659,0,-6.02481452678954,1,0,0,0
5065623,"85",54,16.0533459075149,13.9837889697561,-4.87934390841508,0,-5.98946654444531,1,0,0,0
5065623,"85",55,16.2089519268417,14.0346910667891,-4.89125353707618,0,-6.00881418544309,1,0,0,0
5065623,"85",56,16.09309594622,14.6323989887147,-4.88647265147583,8.15737044118677,-5.99547256850552,1,0,0,0
5065623,"85",57,16.1760669676365,14.1880846381284,-4.91223897224006,0,-5.94381789364063,1,0,0,0
5065623,"85",58,16.159885369083,14.0811241530193,-4.92951624281146,0,-5.94039127692398,1,0,0,0
5065623,"85",59,16.2804925230074,14.1557656306307,-4.94288319204544,10.2273448399312,-5.93584064335998,1,0,0,0
5065623,"85",60,16.2076898894874,14.4011733022764,-4.88726788014597,0,-5.95070655463581,1,0,0,0
5065623,"85",61,16.1087929143707,14.3610859535655,-4.85594190441978,0,-5.89906769784201,1,0,0,0
5065623,"85",62,16.2023638187879,14.1987511884629,-4.86913573182256,0,-5.93018131869108,1,0,0,0
5065623,"85",63,16.2586040972388,0,-4.90330671634373,0,-5.88278953048233,1,0,0,0
5065623,"85",64,16.2980393829663,0,-4.86913573182256,0,-5.87421498705774,1,0,0,0
5065623,"85",65,16.0912936652038,0,-4.84368121443342,8.22603842948548,-5.92567680656998,0,1,0,0
5065623,"85",66,16.1044150974674,0,-4.87069945379874,0,-5.91895785632123,0,1,0,0
5065623,"85",67,16.0776279686621,0,-4.87697890928358,0,-5.91895785632123,0,1,0,0
5065623,"85",68,16.0913565256887,13.6481930749785,-4.82034556765312,9.56303741454569,-5.89470087867567,0,1,0,0
5065623,"85",69,16.0084600099608,13.1937924788716,-4.82931423763588,9.83226004324776,-5.86995512971078,0,1,0,0
5065623,"85",70,16.0786414705537,12.9840686581307,-4.88250596638573,13.1147847318808,-5.88926903479331,0,1,0,0
5065623,"85",71,16.0751833482654,12.8763886674189,-4.90249863549168,12.9778946755952,-5.91784240723737,0,1,0,0
5065623,"85",72,15.9441571777249,15.652890251773,-4.8675744512556,13.3620524928326,-5.94840505764753,0,1,0,0
5065623,"85",73,16.006172313687,11.2495586981651,-4.87069945379874,13.3885986015691,-5.92455384182535,0,1,0,0
5065623,"85",74,15.9319631617772,11.2208470761993,-4.85903070996436,13.1341634815201,-5.91117571587918,0,1,0,0
5065623,"85",75,15.8256518594957,0,-4.8613535913805,13.1414814567255,-5.95070655463581,0,1,0,0
5065623,"85",76,15.7541379664102,0,-4.82556751163428,12.5006322633547,-5.87742183106732,0,1,0,0
5065623,"85",77,15.8837260729369,0,-4.85286261022371,7.73236922228439,-5.87314832028994,0,1,0,0
5065623,"85",78,15.7650068405778,0,-4.82856376855751,0,-5.88494470373031,0,0,1,0
5065623,"85",79,15.8791458362375,0,-4.7823848054139,0,-5.90785896325318,0,0,1,0
5065623,"85",80,15.9012291079429,0,-4.76042147125938,0,-5.88278953048233,0,0,1,0
5065623,"85",81,15.888891521385,0,-4.79391231058497,0,-5.85623459784788,0,0,1,0
5065623,"85",82,15.744524480617,10.8419506506754,-4.80851111000612,0,-5.84269977384287,0,0,1,0
5065623,"85",83,15.8491081411454,0,-4.80777608608475,0,-5.88386653650996,0,0,1,0
5065623,"85",84,15.9829986906148,11.7714438820996,-4.80191526344777,0,-5.8283258097308,0,0,1,0
5065623,"85",85,15.8642289398013,0,-4.856713211824,0,-5.81315101171157,0,0,1,0
5065623,"85",86,16.0610813914335,5.14166355650266,-4.83156903002297,0,-5.84580697468562,0,0,1,0
5065623,"85",87,16.1689533905056,0,-4.96241672182578,0,-5.84477016795718,0,0,1,0
5065623,"85",88,16.1634737148144,0,-4.89927282624279,0,-5.84788381863046,0,0,1,0
5065623,"85",89,16.1958430495011,0,-4.90330671634373,0,-5.85728336564196,0,0,1,0
5065623,"85",90,16.1145200661671,12.0404370997194,-4.8809236875746,10.1370961536981,-5.8520504913253,0,0,1,0
5065623,"85",91,16.1731404994585,9.11118280044296,-4.91550694900468,0,-5.86571334180242,0,0,0,1
5065623,"85",92,16.0494726396361,0,-4.84902677889984,9.63475807300103,-5.85414035624476,0,0,0,1
5065623,"85",93,16.2173371837667,0,-4.87540534483615,9.48486121415014,-5.86571334180242,0,0,0,1
5065623,"85",94,16.1859139128615,11.0418172258676,-4.8801334860321,11.7465340661322,-5.89361214694048,0,0,0,1
5065623,"85",95,16.0972521261162,8.30176976311717,-4.90654558557187,12.005210265031,-5.89470087867567,0,0,0,1
5065623,"85",96,16.1294574604542,0,-4.89686027983741,12.1269482660642,-5.86465570024429,0,0,0,1
5065623,"85",97,16.1525573657134,10.8485795182159,-4.88250596638573,11.8696554073965,-5.85518692881543,0,0,0,1
5065623,"85",98,16.1519322805266,0,-4.8613535913805,11.5271537609809,-5.85100719441273,0,0,0,1
5065623,"85",99,16.1270888902821,14.5374278803403,-4.91060898002913,12.6358042591978,-5.89143823304086,0,0,0,1
5065623,"85",100,16.196594952809,14.1774249519809,-4.87540534483615,0,-5.94039127692398,0,0,0,1
5065623,"85",101,16.2980925077298,14.3445292791337,-4.87697890928358,0,-5.94039127692398,0,0,0,1
5065623,"85",102,15.7809333763156,0,-4.87540534483615,0,-5.95301336073373,0,0,0,1
5065623,"85",103,16.1347728108305,0,-4.95472766215796,0,-5.94381789364063,0,0,0,1
5065623,"85",104,16.2446719126366,13.9532670124314,-4.95557908834818,0,-5.9622941698082,1,0,0,0
5065623,"85",105,16.2146496024125,13.7962268160238,-4.96757580463581,0,-5.87101839403211,1,0,0,0
5065623,"85",106,16.2136788843892,14.0816300703463,-4.96671410703833,0,-5.89797420402064,1,0,0,0
5065623,"85",107,16.2851852888356,15.1044913839028,-4.97971819146153,0,-5.87742183106732,1,0,0,0
5065623,"85",108,16.2895266199961,14.3464569936945,-4.92702971024146,0,-5.86043628470158,1,0,0,0
5065623,"85",109,16.1509045058583,14.3091916505644,-4.89205257826931,8.72988228482659,-5.86571334180242,1,0,0,0
5065623,"85",110,16.2630595180925,14.3007697274514,-4.95048137127651,7.66152708135852,-5.79425437782028,1,0,0,0
5065623,"85",111,16.2748680909669,14.2388555310126,-4.96327472273642,7.98582466641892,-5.87956545461057,1,0,0,0
5065623,"85",112,16.1495896668441,0,-4.91468895304905,8.29129585190541,-5.8688929947198,1,0,0,0
5065623,"85",113,16.2038848313699,0,-4.90654558557187,0,-5.83857180100484,1,0,0,0
5065623,"85",114,16.1875659284689,0,-4.94036324111092,0,-5.84269977384287,1,0,0,0
5065623,"85",115,16.1758812347527,0,-4.91468895304905,0,-5.84684485749804,1,0,0,0
5065623,"85",116,16.101110415085,0,-4.86290518207192,9.91180288413984,-5.84477016795718,1,0,0,0
5065623,"85",117,16.0794868305605,11.6262184353537,-4.89285225843987,11.4800199687907,-5.85309487784321,0,1,0,0
5065623,"85",118,16.1014490621293,0,-4.89045513384015,0,-5.84580697468562,0,1,0,0
5065623,"85",119,16.1481473414192,0,-4.8383640731558,0,-5.83857180100484,0,1,0,0
5065623,"85",120,16.2265639723812,13.1861472388579,-4.83533835223927,13.0127605424884,-5.84996498483428,0,1,0,0
5065623,"85",121,16.1913403505995,14.1553172291744,-4.84673232282632,0,-5.84477016795718,0,1,0,0
5065623,"85",122,16.0052330650101,14.3191822532967,-4.8652370914069,0,-5.83138859926135,0,1,0,0
5065623,"85",123,15.9484170343131,14.1551819575166,-4.86835478683949,0,-5.88602403464999,0,1,0,0
5065623,"85",124,15.9811185572899,14.0567855369766,-4.88250596638573,0,-5.85623459784788,0,1,0,0
5065623,"85",125,15.9513007690629,15.0208332507806,-4.87383425260411,0,-5.89361214694048,0,1,0,0
5065623,"85",126,15.8404090568554,13.7450408822529,-4.83382891799041,0,-5.87635174000748,0,1,0,0
5065623,"85",127,15.8427080903124,13.5919369141736,-4.89686027983741,0,-5.86995512971078,0,1,0,0
5065623,"85",128,15.8974567104861,13.6556950298055,-4.82631573463963,0,-5.87314832028994,0,1,0,0
5065623,"85",129,16.0077909328503,10.2212501357761,-4.8345833503159,0,-5.85309487784321,0,1,0,0
5065623,"85",130,15.8882416347526,0,-4.84368121443342,0,-5.87742183106732,0,0,1,0
5065623,"85",131,16.0676626180187,12.248298454242,-4.90088443013714,0,-5.87742183106732,0,0,1,0
5065623,"85",132,16.0807999318146,10.8569969948929,-4.91796495925495,0,-5.84996498483428,0,0,1,0
5065623,"85",133,16.0749309143596,12.3451212900907,-4.91796495925495,0,-5.86359917611009,0,0,1,0
5065623,"85",134,15.9657064188707,12.6507296202217,-4.90492483967414,0,-5.86995512971078,0,0,1,0
5065623,"85",135,16.1037798673668,12.4602341282138,-4.90979497917018,0,-5.89361214694048,0,0,1,0
5065623,"85",136,16.0522538809608,11.1641619997314,-4.87619181754676,0,-5.84580697468562,0,0,1,0
5065623,"85",137,16.140520132307,11.4941604991172,-4.89605738938882,2.19722457733622,-5.83241161725338,0,0,1,0
5065623,"85",138,16.1429665891112,14.0329345839326,-4.89605738938882,10.4797356816105,-5.81616760525099,0,0,1,0
5065623,"85",139,16.1676598012375,14.2836599692098,-4.94036324111092,8.93787526532926,-5.81616760525099,0,0,1,0
5065623,"85",140,16.111048679276,14.189454726765,-4.89205257826931,9.06797003068446,-5.77184720557033,0,0,1,0
5065623,"85",141,16.0903533678464,14.1267353137985,-4.88329804563506,8.96200720958831,-5.79425437782028,0,0,1,0
5065623,"85",142,16.1513010003414,13.7586396322074,-4.87697890928358,8.85922139360813,-5.78542646369671,0,0,1,0
5065623,"85",143,16.0711480582111,14.8405986527649,-4.90898164036976,0,-5.79032123607344,0,0,0,1
5065623,"85",144,16.0572310128403,14.8897570639606,-4.90492483967414,8.99006769575366,-5.81214749933433,0,0,0,1
5065623,"85",145,16.0576128940786,14.9029965112235,-4.92537545014543,0,-5.80714498765135,0,0,0,1
5065623,"85",146,16.1169479926504,13.0506009599774,-4.96241672182578,10.6934210955338,-5.79524008514504,0,0,0,1
5065623,"85",147,16.157577483863,14.3387355903506,-4.92951624281146,11.3613930212362,-5.8111449929847,0,0,0,1
5065623,"85",148,16.2028253268467,12.8152293361685,-4.86835478683949,11.5828898643711,-5.79919265946086,0,0,0,1
5065623,"85",149,16.1640870450793,13.2249307959957,-4.84673232282632,12.0334142496472,-5.7922858732476,0,0,0,1
5065623,"85",150,16.2275738971154,12.4320561603278,-4.8520942659677,11.0848005517179,-5.81315101171157,0,0,0,1
5065623,"85",151,16.2810136708089,0,-4.89605738938882,12.4983727882618,-5.82222822986268,0,0,0,1
5065623,"85",152,16.307307415657,9.15122710748368,-4.89125353707618,10.961017396103,-5.81516106263959,0,0,0,1
5065623,"85",153,16.3884564729504,0,-4.95387696027765,11.648618270059,-5.82527237224391,0,0,0,1
5065623,"85",154,16.20649766057,0,-4.94794222475783,0,-5.80515096904449,0,0,0,1
5065623,"85",155,15.9186031944333,0,-4.94540950917855,10.8838229336132,-5.80814348998094,0,0,0,1
5065623,"85",156,16.3097287207434,14.0454835355674,-4.94878789077018,11.0293744833391,-5.81616760525099,1,0,0,0
5065623,"85",157,16.2131465244184,14.1350771241975,-4.91796495925495,10.9803142491323,-5.82324191469353,1,0,0,0
5065623,"85",158,16.2189999725151,14.1563062919295,-4.9345079337087,9.62502947461188,-5.83241161725338,1,0,0,0
5065623,"85",159,16.2818458221668,14.2200659190447,-4.89125353707618,0,-5.78934036301785,1,0,0,0
5065623,"85",160,16.2749752895025,15.3586518179867,-4.86368188114009,0,-5.82020393767345,1,0,0,0
5065623,"85",161,16.2097340069517,13.9528792039063,-4.91060898002913,10.7242580825529,-5.80415544880299,1,0,0,0
5065623,"85",162,16.2567829291322,13.8569125442568,-4.84749655671907,11.2964471515248,-5.79820305027569,1,0,0,0
5065623,"85",163,16.3595239723237,14.0753223368411,-4.87148223270368,9.98815034041484,-5.83138859926135,1,0,0,0
5065623,"85",164,16.3052997686287,13.7985535979137,-4.8613535913805,11.8543070595203,-5.79820305027569,1,0,0,0
5065623,"85",165,16.2521015809722,14.1216163663018,-4.8520942659677,11.5495948493272,-5.78152782328105,1,0,0,0
5065623,"85",166,16.3002341910057,14.1299350918495,-4.90816896255177,13.0381575158189,-5.77377584647674,1,0,0,0
5065623,"85",167,16.3077735831507,14.0174231183565,-4.9395246666383,12.6136920980378,-5.78152782328105,1,0,0,0
5065623,"85",168,16.3411833607134,14.2085460710489,-4.92207511711678,14.5622255193054,-5.77764432325466,1,0,0,0
5065623,"85",169,16.3164371996993,10.7979620311294,-4.88567805469187,12.4165320926357,-5.78445037772366,0,1,0,0
5065623,"85",170,16.268760892267,14.0597155517774,-4.90979497917018,10.4930226879724,-5.80814348998094,0,1,0,0
5065623,"85",171,16.0804286741314,14.3912308269481,-4.95984712726415,0,-5.83138859926135,0,1,0,0
5065623,"85",172,16.051270998613,13.8372681358438,-4.90492483967414,10.6536528593184,-5.85518692881543,0,1,0,0
5065623,"85",173,16.0492599099829,11.7474915302708,-4.92042902621011,0,-5.77377584647674,0,1,0,0
5065623,"85",174,16.0047352211475,12.0680511876328,-4.89766381543709,0,-5.78445037772366,0,1,0,0
5065623,"85",175,15.981316017077,11.7958537560869,-4.92289917979217,8.16820293023605,-5.77958418807248,0,1,0,0
5065623,"85",176,15.9822546217469,12.0135249798598,-4.91223897224006,0,-5.77958418807248,0,1,0,0
5065623,"85",177,15.9401350513527,12.5929697638635,-4.90898164036976,8.16820293023605,-5.79032123607344,0,1,0,0
5065623,"85",178,15.9200626736569,11.9801188993145,-4.92372392210696,0,-5.79721441944875,0,1,0,0
